#id,x,y,z,u,v,w
0,-62.9,0.25,0,-0.251908666212,0.,0.
1,-62.9,0.5,0,-0.503817332424,0.,0.
2,-62.9,0.75,0,-0.755725998635,0.,0.
3,-62.9,1.0,0,-1.00763466485,0.,0.
4,-62.9,1.25,0,-1.25954333106,0.,0.
5,-62.9,1.5,0,-1.51145199727,0.,0.
6,-62.9,1.75,0,-1.76336066348,0.,0.
7,-62.9,2.0,0,-2.01526932969,0.,0.
8,-62.9,2.25,0,-2.26717799591,0.,0.
9,-62.9,2.5,0,-2.51908666212,0.,0.
10,-62.9,2.75,0,-2.77099532833,0.,0.
11,-62.9,3.0,0,-3.02290399454,0.,0.
12,-62.9,3.25,0,-3.27481266075,0.,0.
13,-62.9,3.5,0,-3.52672132697,0.,0.
14,-62.9,3.75,0,-3.77862999318,0.,0.
15,-62.9,4.0,0,-4.03053865939,0.,0.
16,-62.9,4.25,0,-4.2824473256,0.,0.
17,-62.9,4.5,0,-4.53435599181,0.,0.
18,-62.9,4.75,0,-4.78626465802,0.,0.
19,-62.9,5.0,0,-5.03817332424,0.,0.
20,-62.9,5.25,0,-5.29008199045,0.,0.
21,-62.9,5.5,0,-5.54199065666,0.,0.
22,-62.9,5.75,0,-5.79389932287,0.,0.
23,-62.9,6.0,0,-6.04580798908,0.,0.
24,-62.9,6.25,0,-6.2977166553,0.,0.
25,-62.9,6.5,0,-6.54962532151,0.,0.
26,-62.9,6.75,0,-6.80153398772,0.,0.
27,-62.9,7.0,0,-7.05344265393,0.,0.
28,-62.9,7.25,0,-7.30535132014,0.,0.
29,-62.9,7.5,0,-7.55725998635,0.,0.
30,-62.9,7.75,0,-7.80916865257,0.,0.
31,-62.9,8.0,0,-8.06107731878,0.,0.
32,-62.9,8.25,0,-8.31298598499,0.,0.
33,-62.9,8.5,0,-8.5648946512,0.,0.
34,-62.9,8.75,0,-8.81680331741,0.,0.
35,-62.9,9.0,0,-9.06871198362,0.,0.
36,-62.9,9.25,0,-9.32062064984,0.,0.
37,-62.9,9.5,0,-9.57252931605,0.,0.
38,-62.9,9.75,0,-9.82443798226,0.,0.
39,-62.9,10.0,0,-10.0763466485,0.,0.
40,-62.9,10.25,0,-10.3282553147,0.,0.
41,-62.9,10.5,0,-10.5801639809,0.,0.
42,-62.9,10.75,0,-10.8320726471,0.,0.
43,-62.9,11.0,0,-11.0839813133,0.,0.
44,-62.9,11.25,0,-11.3358899795,0.,0.
45,-62.9,11.5,0,-11.5877986457,0.,0.
46,-62.9,11.75,0,-11.839707312,0.,0.
47,-62.9,12.0,0,-12.0916159782,0.,0.
48,-62.9,12.25,0,-12.3435246444,0.,0.
49,-62.9,12.5,0,-12.5954333106,0.,0.
50,-62.9,12.75,0,-12.8473419768,0.,0.
51,-62.9,13.0,0,-13.099250643,0.,0.
52,-62.9,13.25,0,-13.3511593092,0.,0.
53,-62.9,13.5,0,-13.6030679754,0.,0.
54,-62.9,13.75,0,-13.8549766416,0.,0.
55,-62.9,14.0,0,-14.1068853079,0.,0.
56,-62.9,14.25,0,-14.3587939741,0.,0.
57,-62.9,14.5,0,-14.6107026403,0.,0.
58,-62.9,14.75,0,-14.8626113065,0.,0.
59,-62.9,15.0,0,-15.1145199727,0.,0.
60,-62.9,15.25,0,-15.3664286389,0.,0.
61,-62.9,15.5,0,-15.6183373051,0.,0.
62,-62.9,15.75,0,-15.8702459713,0.,0.
63,-62.9,16.0,0,-16.1221546376,0.,0.
64,-62.9,16.25,0,-16.3740633038,0.,0.
65,-62.9,16.5,0,-16.62597197,0.,0.
66,-62.9,16.75,0,-16.8778806362,0.,0.
67,-62.9,17.0,0,-17.1297893024,0.,0.
68,-62.9,17.25,0,-17.3816979686,0.,0.
69,-62.9,17.5,0,-17.6336066348,0.,0.
70,-62.9,17.75,0,-17.885515301,0.,0.
71,-62.9,18.0,0,-18.1374239672,0.,0.
72,-62.9,18.25,0,-18.3893326335,0.,0.
73,-62.9,18.5,0,-18.6412412997,0.,0.
74,-62.9,18.75,0,-18.8931499659,0.,0.
75,-62.9,19.0,0,-19.1450586321,0.,0.
76,-62.9,19.25,0,-19.3969672983,0.,0.
77,-62.9,19.5,0,-19.6488759645,0.,0.
78,-62.9,19.75,0,-19.9007846307,0.,0.
79,-62.9,20.0,0,-20.1526932969,0.,0.
80,-62.9,20.25,0,-20.4046019632,0.,0.
81,-62.9,20.5,0,-20.6565106294,0.,0.
82,-62.9,20.75,0,-20.9084192956,0.,0.
83,-62.9,21.0,0,-21.1603279618,0.,0.
84,-62.9,21.25,0,-21.412236628,0.,0.
85,-62.9,21.5,0,-21.6641452942,0.,0.
86,-62.9,21.75,0,-21.9160539604,0.,0.
87,-62.9,22.0,0,-22.1679626266,0.,0.
88,-62.9,22.25,0,-22.4198712929,0.,0.
89,-62.9,22.5,0,-22.6717799591,0.,0.
90,-62.9,22.75,0,-22.9236886253,0.,0.
91,-62.9,23.0,0,-23.1755972915,0.,0.
92,-62.9,23.25,0,-23.4275059577,0.,0.
93,-62.9,23.5,0,-23.6794146239,0.,0.
94,-62.9,23.75,0,-23.9313232901,0.,0.
95,-62.9,24.0,0,-24.1832319563,0.,0.
96,-62.9,24.25,0,-24.4351406225,0.,0.
97,-62.9,24.5,0,-24.6870492888,0.,0.
98,-62.9,24.75,0,-24.938957955,0.,0.
99,-62.9,25.0,0,-25.1908666212,0.,0.
100,-62.9,25.25,0,-25.4427752874,0.,0.
101,-62.9,25.5,0,-25.6946839536,0.,0.
102,-62.9,25.75,0,-25.9465926198,0.,0.
103,-62.9,26.0,0,-26.198501286,0.,0.
104,-62.9,26.25,0,-26.4504099522,0.,0.
105,-62.9,26.5,0,-26.7023186185,0.,0.
106,-62.9,26.75,0,-26.9542272847,0.,0.
107,-62.9,27.0,0,-27.2061359509,0.,0.
108,-62.9,27.25,0,-27.4580446171,0.,0.
109,-62.9,27.5,0,-27.7099532833,0.,0.
110,-62.9,27.75,0,-27.9618619495,0.,0.
111,-62.9,28.0,0,-28.2137706157,0.,0.
112,-62.9,28.25,0,-28.4656792819,0.,0.
113,-62.9,28.5,0,-28.7175879481,0.,0.
114,-62.9,28.75,0,-28.9694966144,0.,0.
115,-62.9,29.0,0,-29.2214052806,0.,0.
116,-62.9,29.25,0,-29.4733139468,0.,0.
117,-62.9,29.5,0,-29.725222613,0.,0.
118,-62.9,29.75,0,-29.9771312792,0.,0.
119,-62.9,30.0,0,-30.2290399454,0.,0.
120,-62.65,0.25,0,-0.249910192024,0.,0.
121,-62.65,0.5,0,-0.499820384048,0.,0.
122,-62.65,0.75,0,-0.749730576072,0.,0.
123,-62.65,1.0,0,-0.999640768097,0.,0.
124,-62.65,1.25,0,-1.24955096012,0.,0.
125,-62.65,1.5,0,-1.49946115214,0.,0.
126,-62.65,1.75,0,-1.74937134417,0.,0.
127,-62.65,2.0,0,-1.99928153619,0.,0.
128,-62.65,2.25,0,-2.24919172822,0.,0.
129,-62.65,2.5,0,-2.49910192024,0.,0.
130,-62.65,2.75,0,-2.74901211227,0.,0.
131,-62.65,3.0,0,-2.99892230429,0.,0.
132,-62.65,3.25,0,-3.24883249631,0.,0.
133,-62.65,3.5,0,-3.49874268834,0.,0.
134,-62.65,3.75,0,-3.74865288036,0.,0.
135,-62.65,4.0,0,-3.99856307239,0.,0.
136,-62.65,4.25,0,-4.24847326441,0.,0.
137,-62.65,4.5,0,-4.49838345643,0.,0.
138,-62.65,4.75,0,-4.74829364846,0.,0.
139,-62.65,5.0,0,-4.99820384048,0.,0.
140,-62.65,5.25,0,-5.24811403251,0.,0.
141,-62.65,5.5,0,-5.49802422453,0.,0.
142,-62.65,5.75,0,-5.74793441656,0.,0.
143,-62.65,6.0,0,-5.99784460858,0.,0.
144,-62.65,6.25,0,-6.2477548006,0.,0.
145,-62.65,6.5,0,-6.49766499263,0.,0.
146,-62.65,6.75,0,-6.74757518465,0.,0.
147,-62.65,7.0,0,-6.99748537668,0.,0.
148,-62.65,7.25,0,-7.2473955687,0.,0.
149,-62.65,7.5,0,-7.49730576072,0.,0.
150,-62.65,7.75,0,-7.74721595275,0.,0.
151,-62.65,8.0,0,-7.99712614477,0.,0.
152,-62.65,8.25,0,-8.2470363368,0.,0.
153,-62.65,8.5,0,-8.49694652882,0.,0.
154,-62.65,8.75,0,-8.74685672085,0.,0.
155,-62.65,9.0,0,-8.99676691287,0.,0.
156,-62.65,9.25,0,-9.24667710489,0.,0.
157,-62.65,9.5,0,-9.49658729692,0.,0.
158,-62.65,9.75,0,-9.74649748894,0.,0.
159,-62.65,10.0,0,-9.99640768097,0.,0.
160,-62.65,10.25,0,-10.246317873,0.,0.
161,-62.65,10.5,0,-10.496228065,0.,0.
162,-62.65,10.75,0,-10.746138257,0.,0.
163,-62.65,11.0,0,-10.9960484491,0.,0.
164,-62.65,11.25,0,-11.2459586411,0.,0.
165,-62.65,11.5,0,-11.4958688331,0.,0.
166,-62.65,11.75,0,-11.7457790251,0.,0.
