#id,x,y,z,u,v,w
0,-62.9,0.25,0,0.,25.4,0.
1,-62.9,0.5,0,0.,25.4,0.
2,-62.9,0.75,0,0.,25.4,0.
3,-62.9,1.0,0,0.,25.4,0.
4,-62.9,1.25,0,0.,25.4,0.
5,-62.9,1.5,0,0.,25.4,0.
6,-62.9,1.75,0,0.,25.4,0.
7,-62.9,2.0,0,0.,25.4,0.
8,-62.9,2.25,0,0.,25.4,0.
9,-62.9,2.5,0,0.,25.4,0.
10,-62.9,2.75,0,0.,25.4,0.
11,-62.9,3.0,0,0.,25.4,0.
12,-62.9,3.25,0,0.,25.4,0.
13,-62.9,3.5,0,0.,25.4,0.
14,-62.9,3.75,0,0.,25.4,0.
15,-62.9,4.0,0,0.,25.4,0.
16,-62.9,4.25,0,0.,25.4,0.
17,-62.9,4.5,0,0.,25.4,0.
18,-62.9,4.75,0,0.,25.4,0.
19,-62.9,5.0,0,0.,25.4,0.
20,-62.9,5.25,0,0.,25.4,0.
21,-62.9,5.5,0,0.,25.4,0.
22,-62.9,5.75,0,0.,25.4,0.
23,-62.9,6.0,0,0.,25.4,0.
24,-62.9,6.25,0,0.,25.4,0.
25,-62.9,6.5,0,0.,25.4,0.
26,-62.9,6.75,0,0.,25.4,0.
27,-62.9,7.0,0,0.,25.4,0.
28,-62.9,7.25,0,0.,25.4,0.
29,-62.9,7.5,0,0.,25.4,0.
30,-62.9,7.75,0,0.,25.4,0.
31,-62.9,8.0,0,0.,25.4,0.
32,-62.9,8.25,0,0.,25.4,0.
33,-62.9,8.5,0,0.,25.4,0.
34,-62.9,8.75,0,0.,25.4,0.
35,-62.9,9.0,0,0.,25.4,0.
36,-62.9,9.25,0,0.,25.4,0.
37,-62.9,9.5,0,0.,25.4,0.
38,-62.9,9.75,0,0.,25.4,0.
39,-62.9,10.0,0,0.,25.4,0.
40,-62.9,10.25,0,0.,25.4,0.
41,-62.9,10.5,0,0.,25.4,0.
42,-62.9,10.75,0,0.,25.4,0.
43,-62.9,11.0,0,0.,25.4,0.
44,-62.9,11.25,0,0.,25.4,0.
45,-62.9,11.5,0,0.,25.4,0.
46,-62.9,11.75,0,0.,25.4,0.
47,-62.9,12.0,0,0.,25.4,0.
48,-62.9,12.25,0,0.,25.4,0.
49,-62.9,12.5,0,0.,25.4,0.
50,-62.9,12.75,0,0.,25.4,0.
51,-62.9,13.0,0,0.,25.4,0.
52,-62.9,13.25,0,0.,25.4,0.
53,-62.9,13.5,0,0.,25.4,0.
54,-62.9,13.75,0,0.,25.4,0.
55,-62.9,14.0,0,0.,25.4,0.
56,-62.9,14.25,0,0.,25.4,0.
57,-62.9,14.5,0,0.,25.4,0.
58,-62.9,14.75,0,0.,25.4,0.
59,-62.9,15.0,0,0.,25.4,0.
60,-62.9,15.25,0,0.,25.4,0.
61,-62.9,15.5,0,0.,25.4,0.
62,-62.9,15.75,0,0.,25.4,0.
63,-62.9,16.0,0,0.,25.4,0.
64,-62.9,16.25,0,0.,25.4,0.
65,-62.9,16.5,0,0.,25.4,0.
66,-62.9,16.75,0,0.,25.4,0.
67,-62.9,17.0,0,0.,25.4,0.
68,-62.9,17.25,0,0.,25.4,0.
69,-62.9,17.5,0,0.,25.4,0.
70,-62.9,17.75,0,0.,25.4,0.
71,-62.9,18.0,0,0.,25.4,0.
72,-62.9,18.25,0,0.,25.4,0.
73,-62.9,18.5,0,0.,25.4,0.
74,-62.9,18.75,0,0.,25.4,0.
75,-62.9,19.0,0,0.,25.4,0.
76,-62.9,19.25,0,0.,25.4,0.
77,-62.9,19.5,0,0.,25.4,0.
78,-62.9,19.75,0,0.,25.4,0.
79,-62.9,20.0,0,0.,25.4,0.
80,-62.9,20.25,0,0.,25.4,0.
81,-62.9,20.5,0,0.,25.4,0.
82,-62.9,20.75,0,0.,25.4,0.
83,-62.9,21.0,0,0.,25.4,0.
84,-62.9,21.25,0,0.,25.4,0.
85,-62.9,21.5,0,0.,25.4,0.
86,-62.9,21.75,0,0.,25.4,0.
87,-62.9,22.0,0,0.,25.4,0.
88,-62.9,22.25,0,0.,25.4,0.
89,-62.9,22.5,0,0.,25.4,0.
90,-62.9,22.75,0,0.,25.4,0.
91,-62.9,23.0,0,0.,25.4,0.
92,-62.9,23.25,0,0.,25.4,0.
93,-62.9,23.5,0,0.,25.4,0.
94,-62.9,23.75,0,0.,25.4,0.
95,-62.9,24.0,0,0.,25.4,0.
96,-62.9,24.25,0,0.,25.4,0.
97,-62.9,24.5,0,0.,25.4,0.
98,-62.9,24.75,0,0.,25.4,0.
99,-62.9,25.0,0,0.,25.4,0.
100,-62.9,25.25,0,0.,25.4,0.
101,-62.9,25.5,0,0.,25.4,0.
102,-62.9,25.75,0,0.,25.4,0.
103,-62.9,26.0,0,0.,25.4,0.
104,-62.9,26.25,0,0.,25.4,0.
105,-62.9,26.5,0,0.,25.4,0.
106,-62.9,26.75,0,0.,25.4,0.
107,-62.9,27.0,0,0.,25.4,0.
108,-62.9,27.25,0,0.,25.4,0.
109,-62.9,27.5,0,0.,25.4,0.
110,-62.9,27.75,0,0.,25.4,0.
111,-62.9,28.0,0,0.,25.4,0.
112,-62.9,28.25,0,0.,25.4,0.
113,-62.9,28.5,0,0.,25.4,0.
114,-62.9,28.75,0,0.,25.4,0.
115,-62.9,29.0,0,0.,25.4,0.
116,-62.9,29.25,0,0.,25.4,0.
117,-62.9,29.5,0,0.,25.4,0.
118,-62.9,29.75,0,0.,25.4,0.
119,-62.9,30.0,0,0.,25.4,0.
120,-62.65,0.25,0,0.,25.15,0.
121,-62.65,0.5,0,0.,25.15,0.
