#id,x,y,z,u,v,z
115,-23.00,4.50,0.00,0.000,0.000,0.00
116,-23.00,5.50,0.00,0.000,0.000,0.00
117,-23.00,6.50,0.00,0.000,0.000,0.00
118,-23.00,7.50,0.00,0.000,0.000,0.00
119,-23.00,8.50,0.00,0.000,0.000,0.00
120,-23.00,9.50,0.00,0.000,0.000,0.00
121,-23.00,10.50,0.00,0.000,0.000,0.00
122,-23.00,11.50,0.00,0.000,0.000,0.00
123,-23.00,12.50,0.00,0.000,0.000,0.00
124,-23.00,13.50,0.00,0.000,0.000,0.00
125,-23.00,14.50,0.00,0.000,0.000,0.00
126,-23.00,15.50,0.00,0.000,0.000,0.00
127,-23.00,16.50,0.00,0.000,0.000,0.00
128,-23.00,17.50,0.00,0.000,0.000,0.00
129,-23.00,18.50,0.00,0.000,0.000,0.00
130,-23.00,19.50,0.00,0.000,0.000,0.00
131,-23.00,20.50,0.00,0.000,0.000,0.00
132,-23.00,21.50,0.00,0.000,0.000,0.00
133,-23.00,22.50,0.00,0.000,0.000,0.00
134,-23.00,23.50,0.00,0.000,0.000,0.00
135,-23.00,24.50,0.00,0.000,0.000,0.00
136,-23.00,25.50,0.00,0.000,0.000,0.00
137,-23.00,26.50,0.00,0.000,0.000,0.00
138,-23.00,27.50,0.00,0.000,0.000,0.00
139,-23.00,28.50,0.00,0.000,0.000,0.00
140,-23.00,29.50,0.00,0.000,0.000,0.00
141,-23.00,30.50,0.00,0.000,0.000,0.00
142,-23.00,31.50,0.00,0.000,0.000,0.00
143,-23.00,32.50,0.00,0.000,0.000,0.00
144,-23.00,33.50,0.00,0.000,0.000,0.00
145,-23.00,34.50,0.00,0.000,0.000,0.00
146,-23.00,35.50,0.00,0.000,0.000,0.00
147,-23.00,36.50,0.00,0.000,0.000,0.00
148,-22.00,-36.50,0.00,0.000,0.000,0.00
149,-22.00,-35.50,0.00,0.000,0.000,0.00
150,-22.00,-34.50,0.00,0.000,0.000,0.00
151,-22.00,-33.50,0.00,0.000,0.000,0.00
152,-22.00,-32.50,0.00,0.000,0.000,0.00
153,-22.00,-31.50,0.00,0.000,0.000,0.00
154,-22.00,-30.50,0.00,0.000,0.000,0.00
155,-22.00,-29.50,0.00,0.000,0.000,0.00
156,-22.00,-28.50,0.00,0.000,0.000,0.00
157,-22.00,-27.50,0.00,0.000,0.000,0.00
158,-22.00,-26.50,0.00,0.000,0.000,0.00
159,-22.00,-25.50,0.00,0.000,0.000,0.00
160,-22.00,-24.50,0.00,0.000,0.000,0.00
161,-22.00,-23.50,0.00,0.000,0.000,0.00
162,-22.00,-22.50,0.00,0.000,0.000,0.00
163,-22.00,-21.50,0.00,0.000,0.000,0.00
164,-22.00,-20.50,0.00,0.000,0.000,0.00
165,-22.00,-19.50,0.00,0.000,0.000,0.00
166,-22.00,-18.50,0.00,0.000,0.000,0.00
