#id;x;y;vol
220;8.500;8.000;1.000
221;8.500;9.000;1.000
222;8.500;10.000;1.000
223;8.500;11.000;1.000
224;8.500;12.000;1.000
225;9.500;-12.000;1.000
226;9.500;-11.000;1.000
227;9.500;-10.000;1.000
228;9.500;-9.000;1.000
229;9.500;-8.000;1.000
230;9.500;-7.000;1.000
231;9.500;-6.000;1.000
232;9.500;-5.000;1.000
233;9.500;-4.000;1.000
234;9.500;-3.000;1.000
235;9.500;-2.000;1.000
236;9.500;-1.000;1.000
237;9.500;0.000;1.000
238;9.500;1.000;1.000
239;9.500;2.000;1.000
240;9.500;3.000;1.000
241;9.500;4.000;1.000
242;9.500;5.000;1.000
243;9.500;6.000;1.000
244;9.500;7.000;1.000
245;9.500;8.000;1.000
246;9.500;9.000;1.000
247;9.500;10.000;1.000
248;9.500;11.000;1.000
249;9.500;12.000;1.000
250;10.500;-12.000;1.000
251;10.500;-11.000;1.000
252;10.500;-10.000;1.000
253;10.500;-9.000;1.000
254;10.500;-8.000;1.000
255;10.500;-7.000;1.000
256;10.500;-6.000;1.000
257;10.500;-5.000;1.000
258;10.500;-4.000;1.000
259;10.500;-3.000;1.000
260;10.500;-2.000;1.000
261;10.500;-1.000;1.000
262;10.500;0.000;1.000
263;10.500;1.000;1.000
264;10.500;2.000;1.000
265;10.500;3.000;1.000
266;10.500;4.000;1.000
267;10.500;5.000;1.000
268;10.500;6.000;1.000
269;10.500;7.000;1.000
270;10.500;8.000;1.000
271;10.500;9.000;1.000
272;10.500;10.000;1.000
273;10.500;11.000;1.000
274;10.500;12.000;1.000
275;11.500;-12.000;1.000
276;11.500;-11.000;1.000
277;11.500;-10.000;1.000
278;11.500;-9.000;1.000
279;11.500;-8.000;1.000
280;11.500;-7.000;1.000
281;11.500;-6.000;1.000
282;11.500;-5.000;1.000
283;11.500;-4.000;1.000
284;11.500;-3.000;1.000
285;11.500;-2.000;1.000
286;11.500;-1.000;1.000
287;11.500;0.000;1.000
288;11.500;1.000;1.000
289;11.500;2.000;1.000
290;11.500;3.000;1.000
291;11.500;4.000;1.000
292;11.500;5.000;1.000
293;11.500;6.000;1.000
294;11.500;7.000;1.000
295;11.500;8.000;1.000
296;11.500;9.000;1.000
297;11.500;10.000;1.000
298;11.500;11.000;1.000
299;11.500;12.000;1.000
300;12.500;-12.000;1.000
301;12.500;-11.000;1.000
302;12.500;-10.000;1.000
303;12.500;-9.000;1.000
304;12.500;-8.000;1.000
305;12.500;-7.000;1.000
306;12.500;-6.000;1.000
307;12.500;-5.000;1.000
308;12.500;-4.000;1.000
309;12.500;-3.000;1.000
310;12.500;-2.000;1.000
311;12.500;-1.000;1.000
312;12.500;0.000;1.000
313;12.500;1.000;1.000
314;12.500;2.000;1.000
315;12.500;3.000;1.000
316;12.500;4.000;1.000
317;12.500;5.000;1.000
318;12.500;6.000;1.000
319;12.500;7.000;1.000
320;12.500;8.000;1.000
321;12.500;9.000;1.000
322;12.500;10.000;1.000
323;12.500;11.000;1.000
324;12.500;12.000;1.000
325;13.500;-12.000;1.000
326;13.500;-11.000;1.000
327;13.500;-10.000;1.000
328;13.500;-9.000;1.000
329;13.500;-8.000;1.000
330;13.500;-7.000;1.000
331;13.500;-6.000;1.000
332;13.500;-5.000;1.000
333;13.500;-4.000;1.000
334;13.500;-3.000;1.000
335;13.500;-2.000;1.000
336;13.500;-1.000;1.000
337;13.500;0.000;1.000
338;13.500;1.000;1.000
339;13.500;2.000;1.000
340;13.500;3.000;1.000
341;13.500;4.000;1.000
342;13.500;5.000;1.000
343;13.500;6.000;1.000
344;13.500;7.000;1.000
345;13.500;8.000;1.000
346;13.500;9.000;1.000
347;13.500;10.000;1.000
348;13.500;11.000;1.000
349;13.500;12.000;1.000
350;14.500;-12.000;1.000
351;14.500;-11.000;1.000
352;14.500;-10.000;1.000
353;14.500;-9.000;1.000
354;14.500;-8.000;1.000
355;14.500;-7.000;1.000
356;14.500;-6.000;1.000
357;14.500;-5.000;1.000
358;14.500;-4.000;1.000
359;14.500;-3.000;1.000
360;14.500;-2.000;1.000
361;14.500;-1.000;1.000
362;14.500;0.000;1.000
363;14.500;1.000;1.000
364;14.500;2.000;1.000
365;14.500;3.000;1.000
366;14.500;4.000;1.000
367;14.500;5.000;1.000
368;14.500;6.000;1.000
369;14.500;7.000;1.000
370;14.500;8.000;1.000
371;14.500;9.000;1.000
372;14.500;10.000;1.000
373;14.500;11.000;1.000
374;14.500;12.000;1.000
375;15.500;-12.000;1.000
376;15.500;-11.000;1.000
377;15.500;-10.000;1.000
378;15.500;-9.000;1.000
379;15.500;-8.000;1.000
380;15.500;-7.000;1.000
381;15.500;-6.000;1.000
382;15.500;-5.000;1.000
383;15.500;-4.000;1.000
384;15.500;-3.000;1.000
385;15.500;-2.000;1.000
386;15.500;-1.000;1.000
387;15.500;0.000;1.000
388;15.500;1.000;1.000
389;15.500;2.000;1.000
390;15.500;3.000;1.000
391;15.500;4.000;1.000
392;15.500;5.000;1.000
393;15.500;6.000;1.000
394;15.500;7.000;1.000
395;15.500;8.000;1.000
396;15.500;9.000;1.000
397;15.500;10.000;1.000
398;15.500;11.000;1.000
399;15.500;12.000;1.000
400;16.500;-12.000;1.000
401;16.500;-11.000;1.000
402;16.500;-10.000;1.000
403;16.500;-9.000;1.000
404;16.500;-8.000;1.000
405;16.500;-7.000;1.000
406;16.500;-6.000;1.000
407;16.500;-5.000;1.000
408;16.500;-4.000;1.000
409;16.500;-3.000;1.000
410;16.500;-2.000;1.000
411;16.500;-1.000;1.000
412;16.500;0.000;1.000
413;16.500;1.000;1.000
414;16.500;2.000;1.000
415;16.500;3.000;1.000
416;16.500;4.000;1.000
417;16.500;5.000;1.000
418;16.500;6.000;1.000
419;16.500;7.000;1.000
420;16.500;8.000;1.000
421;16.500;9.000;1.000
422;16.500;10.000;1.000
423;16.500;11.000;1.000
424;16.500;12.000;1.000
425;17.500;-12.000;1.000
426;17.500;-11.000;1.000
427;17.500;-10.000;1.000
428;17.500;-9.000;1.000
429;17.500;-8.000;1.000
430;17.500;-7.000;1.000
431;17.500;-6.000;1.000
432;17.500;-5.000;1.000
433;17.500;-4.000;1.000
434;17.500;-3.000;1.000
435;17.500;-2.000;1.000
436;17.500;-1.000;1.000
437;17.500;0.000;1.000
438;17.500;1.000;1.000
439;17.500;2.000;1.000
440;17.500;3.000;1.000
441;17.500;4.000;1.000
442;17.500;5.000;1.000
443;17.500;6.000;1.000
444;17.500;7.000;1.000
445;17.500;8.000;1.000
446;17.500;9.000;1.000
447;17.500;10.000;1.000
448;17.500;11.000;1.000
449;17.500;12.000;1.000
450;18.500;-12.000;1.000
451;18.500;-11.000;1.000
452;18.500;-10.000;1.000
453;18.500;-9.000;1.000
454;18.500;-8.000;1.000
455;18.500;-7.000;1.000
456;18.500;-6.000;1.000
457;18.500;-5.000;1.000
458;18.500;-4.000;1.000
459;18.500;-3.000;1.000
460;18.500;-2.000;1.000
461;18.500;-1.000;1.000
462;18.500;0.000;1.000
463;18.500;1.000;1.000
464;18.500;2.000;1.000
465;18.500;3.000;1.000
466;18.500;4.000;1.000
467;18.500;5.000;1.000
468;18.500;6.000;1.000
469;18.500;7.000;1.000
470;18.500;8.000;1.000
471;18.500;9.000;1.000
472;18.500;10.000;1.000
473;18.500;11.000;1.000
474;18.500;12.000;1.000
475;19.500;-12.000;1.000
476;19.500;-11.000;1.000
477;19.500;-10.000;1.000
478;19.500;-9.000;1.000
479;19.500;-8.000;1.000
480;19.500;-7.000;1.000
481;19.500;-6.000;1.000
482;19.500;-5.000;1.000
483;19.500;-4.000;1.000
484;19.500;-3.000;1.000
485;19.500;-2.000;1.000
486;19.500;-1.000;1.000
487;19.500;0.000;1.000
488;19.500;1.000;1.000
489;19.500;2.000;1.000
490;19.500;3.000;1.000
491;19.500;4.000;1.000
