x;y;z;u;v;w;X;Y;Z;Sigma_11;Sigma_22;Sigma_12;Epsilon_11;Epsilon_22;Gamma_12;Strain Energy CCM
0.500;-12.000;0.000;0.323;-1.439;0.000;0.823;-13.439;0.000;-0.230400;0.000000;0.235200;-0.000058;0.000017;0.000153;0.000025
0.500;-11.000;0.000;0.296;-1.439;0.000;0.796;-12.439;0.000;-0.211200;0.000000;0.676800;-0.000053;0.000016;0.000440;0.000154
0.500;-10.000;0.000;0.268;-1.439;0.000;0.768;-11.439;0.000;-0.192000;0.000000;1.080000;-0.000048;0.000014;0.000702;0.000384
0.500;-9.000;0.000;0.240;-1.439;0.000;0.740;-10.439;0.000;-0.172800;0.000000;1.444800;-0.000043;0.000013;0.000939;0.000682
0.500;-8.000;0.000;0.213;-1.439;0.000;0.713;-9.439;0.000;-0.153600;0.000000;1.771200;-0.000038;0.000012;0.001151;0.001023
0.500;-7.000;0.000;0.186;-1.439;0.000;0.686;-8.439;0.000;-0.134400;0.000000;2.059200;-0.000034;0.000010;0.001338;0.001380
0.500;-6.000;0.000;0.159;-1.439;0.000;0.659;-7.439;0.000;-0.115200;0.000000;2.308800;-0.000029;0.000009;0.001501;0.001734
0.500;-5.000;0.000;0.133;-1.439;0.000;0.633;-6.439;0.000;-0.096000;0.000000;2.520000;-0.000024;0.000007;0.001638;0.002065
0.500;-4.000;0.000;0.106;-1.439;0.000;0.606;-5.439;0.000;-0.076800;0.000000;2.692800;-0.000019;0.000006;0.001750;0.002357
0.500;-3.000;0.000;0.079;-1.439;0.000;0.579;-4.439;0.000;-0.057600;0.000000;2.827200;-0.000014;0.000004;0.001838;0.002598
0.500;-2.000;0.000;0.053;-1.439;0.000;0.553;-3.439;0.000;-0.038400;0.000000;2.923200;-0.000010;0.000003;0.001900;0.002777
0.500;-1.000;0.000;0.026;-1.439;0.000;0.526;-2.439;0.000;-0.019200;0.000000;2.980800;-0.000005;0.000001;0.001938;0.002888
0.500;0.000;0.000;0.000;-1.439;0.000;0.500;-1.439;0.000;0.000000;0.000000;3.000000;0.000000;0.000000;0.001950;0.002925
0.500;1.000;0.000;-0.026;-1.439;0.000;0.474;-0.439;0.000;0.019200;0.000000;2.980800;0.000005;-0.000001;0.001938;0.002888
0.500;2.000;0.000;-0.053;-1.439;0.000;0.447;0.561;0.000;0.038400;0.000000;2.923200;0.000010;-0.000003;0.001900;0.002777
0.500;3.000;0.000;-0.079;-1.439;0.000;0.421;1.561;0.000;0.057600;0.000000;2.827200;0.000014;-0.000004;0.001838;0.002598
0.500;4.000;0.000;-0.106;-1.439;0.000;0.394;2.561;0.000;0.076800;0.000000;2.692800;0.000019;-0.000006;0.001750;0.002357
0.500;5.000;0.000;-0.133;-1.439;0.000;0.367;3.561;0.000;0.096000;0.000000;2.520000;0.000024;-0.000007;0.001638;0.002065
0.500;6.000;0.000;-0.159;-1.439;0.000;0.341;4.561;0.000;0.115200;0.000000;2.308800;0.000029;-0.000009;0.001501;0.001734
0.500;7.000;0.000;-0.186;-1.439;0.000;0.314;5.561;0.000;0.134400;0.000000;2.059200;0.000034;-0.000010;0.001338;0.001380
0.500;8.000;0.000;-0.213;-1.439;0.000;0.287;6.561;0.000;0.153600;0.000000;1.771200;0.000038;-0.000012;0.001151;0.001023
0.500;9.000;0.000;-0.240;-1.439;0.000;0.260;7.561;0.000;0.172800;0.000000;1.444800;0.000043;-0.000013;0.000939;0.000682
0.500;10.000;0.000;-0.268;-1.439;0.000;0.232;8.561;0.000;0.192000;0.000000;1.080000;0.000048;-0.000014;0.000702;0.000384
0.500;11.000;0.000;-0.296;-1.439;0.000;0.204;9.561;0.000;0.211200;0.000000;0.676800;0.000053;-0.000016;0.000440;0.000154
0.500;12.000;0.000;-0.323;-1.439;0.000;0.177;10.561;0.000;0.230400;0.000000;0.235200;0.000058;-0.000017;0.000153;0.000025
1.500;-12.000;0.000;0.323;-1.411;0.000;1.823;-13.411;0.000;-0.691200;0.000000;0.235200;-0.000173;0.000052;0.000153;0.000078
1.500;-11.000;0.000;0.295;-1.411;0.000;1.795;-12.411;0.000;-0.633600;0.000000;0.676800;-0.000158;0.000048;0.000440;0.000199
1.500;-10.000;0.000;0.268;-1.411;0.000;1.768;-11.411;0.000;-0.576000;0.000000;1.080000;-0.000144;0.000043;0.000702;0.000421
1.500;-9.000;0.000;0.240;-1.411;0.000;1.740;-10.411;0.000;-0.518400;0.000000;1.444800;-0.000130;0.000039;0.000939;0.000712
1.500;-8.000;0.000;0.213;-1.411;0.000;1.713;-9.411;0.000;-0.460800;0.000000;1.771200;-0.000115;0.000035;0.001151;0.001046
1.500;-7.000;0.000;0.186;-1.411;0.000;1.686;-8.411;0.000;-0.403200;0.000000;2.059200;-0.000101;0.000030;0.001338;0.001398
1.500;-6.000;0.000;0.159;-1.411;0.000;1.659;-7.411;0.000;-0.345600;0.000000;2.308800;-0.000086;0.000026;0.001501;0.001747
1.500;-5.000;0.000;0.133;-1.411;0.000;1.633;-6.411;0.000;-0.288000;0.000000;2.520000;-0.000072;0.000022;0.001638;0.002074
1.500;-4.000;0.000;0.106;-1.411;0.000;1.606;-5.411;0.000;-0.230400;0.000000;2.692800;-0.000058;0.000017;0.001750;0.002363
1.500;-3.000;0.000;0.079;-1.411;0.000;1.579;-4.411;0.000;-0.172800;0.000000;2.827200;-0.000043;0.000013;0.001838;0.002601
1.500;-2.000;0.000;0.053;-1.411;0.000;1.553;-3.411;0.000;-0.115200;0.000000;2.923200;-0.000029;0.000009;0.001900;0.002779
1.500;-1.000;0.000;0.026;-1.411;0.000;1.526;-2.411;0.000;-0.057600;0.000000;2.980800;-0.000014;0.000004;0.001938;0.002888
1.500;0.000;0.000;0.000;-1.411;0.000;1.500;-1.411;0.000;0.000000;0.000000;3.000000;0.000000;0.000000;0.001950;0.002925
1.500;1.000;0.000;-0.026;-1.411;0.000;1.474;-0.411;0.000;0.057600;0.000000;2.980800;0.000014;-0.000004;0.001938;0.002888
1.500;2.000;0.000;-0.053;-1.411;0.000;1.447;0.589;0.000;0.115200;0.000000;2.923200;0.000029;-0.000009;0.001900;0.002779
1.500;3.000;0.000;-0.079;-1.411;0.000;1.421;1.589;0.000;0.172800;0.000000;2.827200;0.000043;-0.000013;0.001838;0.002601
1.500;4.000;0.000;-0.106;-1.411;0.000;1.394;2.589;0.000;0.230400;0.000000;2.692800;0.000058;-0.000017;0.001750;0.002363
1.500;5.000;0.000;-0.133;-1.411;0.000;1.367;3.589;0.000;0.288000;0.000000;2.520000;0.000072;-0.000022;0.001638;0.002074
1.500;6.000;0.000;-0.159;-1.411;0.000;1.341;4.589;0.000;0.345600;0.000000;2.308800;0.000086;-0.000026;0.001501;0.001747
1.500;7.000;0.000;-0.186;-1.411;0.000;1.314;5.589;0.000;0.403200;0.000000;2.059200;0.000101;-0.000030;0.001338;0.001398
1.500;8.000;0.000;-0.213;-1.411;0.000;1.287;6.589;0.000;0.460800;0.000000;1.771200;0.000115;-0.000035;0.001151;0.001046
1.500;9.000;0.000;-0.240;-1.411;0.000;1.260;7.589;0.000;0.518400;0.000000;1.444800;0.000130;-0.000039;0.000939;0.000712
1.500;10.000;0.000;-0.268;-1.411;0.000;1.232;8.589;0.000;0.576000;0.000000;1.080000;0.000144;-0.000043;0.000702;0.000421
1.500;11.000;0.000;-0.295;-1.411;0.000;1.205;9.589;0.000;0.633600;0.000000;0.676800;0.000158;-0.000048;0.000440;0.000199
1.500;12.000;0.000;-0.323;-1.411;0.000;1.177;10.589;0.000;0.691200;0.000000;0.235200;0.000173;-0.000052;0.000153;0.000078
2.500;-12.000;0.000;0.323;-1.383;0.000;2.823;-13.383;0.000;-1.152000;0.000000;0.235200;-0.000288;0.000086;0.000153;0.000184
2.500;-11.000;0.000;0.295;-1.383;0.000;2.795;-12.383;0.000;-1.056000;0.000000;0.676800;-0.000264;0.000079;0.000440;0.000288
2.500;-10.000;0.000;0.268;-1.383;0.000;2.768;-11.383;0.000;-0.960000;0.000000;1.080000;-0.000240;0.000072;0.000702;0.000494
2.500;-9.000;0.000;0.240;-1.383;0.000;2.740;-10.383;0.000;-0.864000;0.000000;1.444800;-0.000216;0.000065;0.000939;0.000772
2.500;-8.000;0.000;0.213;-1.382;0.000;2.713;-9.382;0.000;-0.768000;0.000000;1.771200;-0.000192;0.000058;0.001151;0.001093
2.500;-7.000;0.000;0.186;-1.382;0.000;2.686;-8.382;0.000;-0.672000;0.000000;2.059200;-0.000168;0.000050;0.001338;0.001435
2.500;-6.000;0.000;0.159;-1.382;0.000;2.659;-7.382;0.000;-0.576000;0.000000;2.308800;-0.000144;0.000043;0.001501;0.001774
2.500;-5.000;0.000;0.132;-1.382;0.000;2.632;-6.382;0.000;-0.480000;0.000000;2.520000;-0.000120;0.000036;0.001638;0.002093
2.500;-4.000;0.000;0.106;-1.382;0.000;2.606;-5.382;0.000;-0.384000;0.000000;2.692800;-0.000096;0.000029;0.001750;0.002375
2.500;-3.000;0.000;0.079;-1.382;0.000;2.579;-4.382;0.000;-0.288000;0.000000;2.827200;-0.000072;0.000022;0.001838;0.002608
2.500;-2.000;0.000;0.053;-1.382;0.000;2.553;-3.382;0.000;-0.192000;0.000000;2.923200;-0.000048;0.000014;0.001900;0.002782
2.500;-1.000;0.000;0.026;-1.382;0.000;2.526;-2.382;0.000;-0.096000;0.000000;2.980800;-0.000024;0.000007;0.001938;0.002889
2.500;0.000;0.000;0.000;-1.382;0.000;2.500;-1.382;0.000;0.000000;0.000000;3.000000;0.000000;0.000000;0.001950;0.002925
2.500;1.000;0.000;-0.026;-1.382;0.000;2.474;-0.382;0.000;0.096000;0.000000;2.980800;0.000024;-0.000007;0.001938;0.002889
2.500;2.000;0.000;-0.053;-1.382;0.000;2.447;0.618;0.000;0.192000;0.000000;2.923200;0.000048;-0.000014;0.001900;0.002782
2.500;3.000;0.000;-0.079;-1.382;0.000;2.421;1.618;0.000;0.288000;0.000000;2.827200;0.000072;-0.000022;0.001838;0.002608
2.500;4.000;0.000;-0.106;-1.382;0.000;2.394;2.618;0.000;0.384000;0.000000;2.692800;0.000096;-0.000029;0.001750;0.002375
2.500;5.000;0.000;-0.132;-1.382;0.000;2.368;3.618;0.000;0.480000;0.000000;2.520000;0.000120;-0.000036;0.001638;0.002093
2.500;6.000;0.000;-0.159;-1.382;0.000;2.341;4.618;0.000;0.576000;0.000000;2.308800;0.000144;-0.000043;0.001501;0.001774
2.500;7.000;0.000;-0.186;-1.382;0.000;2.314;5.618;0.000;0.672000;0.000000;2.059200;0.000168;-0.000050;0.001338;0.001435
2.500;8.000;0.000;-0.213;-1.382;0.000;2.287;6.618;0.000;0.768000;0.000000;1.771200;0.000192;-0.000058;0.001151;0.001093
2.500;9.000;0.000;-0.240;-1.383;0.000;2.260;7.617;0.000;0.864000;0.000000;1.444800;0.000216;-0.000065;0.000939;0.000772
2.500;10.000;0.000;-0.268;-1.383;0.000;2.232;8.617;0.000;0.960000;0.000000;1.080000;0.000240;-0.000072;0.000702;0.000494
2.500;11.000;0.000;-0.295;-1.383;0.000;2.205;9.617;0.000;1.056000;0.000000;0.676800;0.000264;-0.000079;0.000440;0.000288
2.500;12.000;0.000;-0.323;-1.383;0.000;2.177;10.617;0.000;1.152000;0.000000;0.235200;0.000288;-0.000086;0.000153;0.000184
3.500;-12.000;0.000;0.323;-1.355;0.000;3.823;-13.355;0.000;-1.612800;0.000000;0.235200;-0.000403;0.000121;0.000153;0.000343
3.500;-11.000;0.000;0.295;-1.354;0.000;3.795;-12.354;0.000;-1.478400;0.000000;0.676800;-0.000370;0.000111;0.000440;0.000422
3.500;-10.000;0.000;0.267;-1.354;0.000;3.767;-11.354;0.000;-1.344000;0.000000;1.080000;-0.000336;0.000101;0.000702;0.000605
3.500;-9.000;0.000;0.240;-1.354;0.000;3.740;-10.354;0.000;-1.209600;0.000000;1.444800;-0.000302;0.000091;0.000939;0.000861
3.500;-8.000;0.000;0.213;-1.354;0.000;3.713;-9.354;0.000;-1.075200;0.000000;1.771200;-0.000269;0.000081;0.001151;0.001164
3.500;-7.000;0.000;0.186;-1.354;0.000;3.686;-8.354;0.000;-0.940800;0.000000;2.059200;-0.000235;0.000071;0.001338;0.001489
3.500;-6.000;0.000;0.159;-1.354;0.000;3.659;-7.354;0.000;-0.806400;0.000000;2.308800;-0.000202;0.000060;0.001501;0.001814
3.500;-5.000;0.000;0.132;-1.354;0.000;3.632;-6.354;0.000;-0.672000;0.000000;2.520000;-0.000168;0.000050;0.001638;0.002120
3.500;-4.000;0.000;0.106;-1.354;0.000;3.606;-5.354;0.000;-0.537600;0.000000;2.692800;-0.000134;0.000040;0.001750;0.002393
3.500;-3.000;0.000;0.079;-1.354;0.000;3.579;-4.354;0.000;-0.403200;0.000000;2.827200;-0.000101;0.000030;0.001838;0.002618
3.500;-2.000;0.000;0.053;-1.354;0.000;3.553;-3.354;0.000;-0.268800;0.000000;2.923200;-0.000067;0.000020;0.001900;0.002786
3.500;-1.000;0.000;0.026;-1.354;0.000;3.526;-2.354;0.000;-0.134400;0.000000;2.980800;-0.000034;0.000010;0.001938;0.002890
3.500;0.000;0.000;0.000;-1.354;0.000;3.500;-1.354;0.000;0.000000;0.000000;3.000000;0.000000;0.000000;0.001950;0.002925
3.500;1.000;0.000;-0.026;-1.354;0.000;3.474;-0.354;0.000;0.134400;0.000000;2.980800;0.000034;-0.000010;0.001938;0.002890
3.500;2.000;0.000;-0.053;-1.354;0.000;3.447;0.646;0.000;0.268800;0.000000;2.923200;0.000067;-0.000020;0.001900;0.002786
3.500;3.000;0.000;-0.079;-1.354;0.000;3.421;1.646;0.000;0.403200;0.000000;2.827200;0.000101;-0.000030;0.001838;0.002618
3.500;4.000;0.000;-0.106;-1.354;0.000;3.394;2.646;0.000;0.537600;0.000000;2.692800;0.000134;-0.000040;0.001750;0.002393
3.500;5.000;0.000;-0.132;-1.354;0.000;3.368;3.646;0.000;0.672000;0.000000;2.520000;0.000168;-0.000050;0.001638;0.002120
3.500;6.000;0.000;-0.159;-1.354;0.000;3.341;4.646;0.000;0.806400;0.000000;2.308800;0.000202;-0.000060;0.001501;0.001814
3.500;7.000;0.000;-0.186;-1.354;0.000;3.314;5.646;0.000;0.940800;0.000000;2.059200;0.000235;-0.000071;0.001338;0.001489
3.500;8.000;0.000;-0.213;-1.354;0.000;3.287;6.646;0.000;1.075200;0.000000;1.771200;0.000269;-0.000081;0.001151;0.001164
3.500;9.000;0.000;-0.240;-1.354;0.000;3.260;7.646;0.000;1.209600;0.000000;1.444800;0.000302;-0.000091;0.000939;0.000861
3.500;10.000;0.000;-0.267;-1.354;0.000;3.233;8.646;0.000;1.344000;0.000000;1.080000;0.000336;-0.000101;0.000702;0.000605
3.500;11.000;0.000;-0.295;-1.354;0.000;3.205;9.646;0.000;1.478400;0.000000;0.676800;0.000370;-0.000111;0.000440;0.000422
3.500;12.000;0.000;-0.323;-1.355;0.000;3.177;10.645;0.000;1.612800;0.000000;0.235200;0.000403;-0.000121;0.000153;0.000343
4.500;-12.000;0.000;0.322;-1.327;0.000;4.822;-13.327;0.000;-2.073600;0.000000;0.235200;-0.000518;0.000156;0.000153;0.000555
4.500;-11.000;0.000;0.295;-1.326;0.000;4.795;-12.326;0.000;-1.900800;0.000000;0.676800;-0.000475;0.000143;0.000440;0.000600
4.500;-10.000;0.000;0.267;-1.326;0.000;4.767;-11.326;0.000;-1.728000;0.000000;1.080000;-0.000432;0.000130;0.000702;0.000752
4.500;-9.000;0.000;0.240;-1.326;0.000;4.740;-10.326;0.000;-1.555200;0.000000;1.444800;-0.000389;0.000117;0.000939;0.000981
4.500;-8.000;0.000;0.213;-1.326;0.000;4.713;-9.326;0.000;-1.382400;0.000000;1.771200;-0.000346;0.000104;0.001151;0.001258
4.500;-7.000;0.000;0.186;-1.326;0.000;4.686;-8.326;0.000;-1.209600;0.000000;2.059200;-0.000302;0.000091;0.001338;0.001561
4.500;-6.000;0.000;0.159;-1.326;0.000;4.659;-7.326;0.000;-1.036800;0.000000;2.308800;-0.000259;0.000078;0.001501;0.001867
4.500;-5.000;0.000;0.132;-1.326;0.000;4.632;-6.326;0.000;-0.864000;0.000000;2.520000;-0.000216;0.000065;0.001638;0.002157
4.500;-4.000;0.000;0.106;-1.326;0.000;4.606;-5.326;0.000;-0.691200;0.000000;2.692800;-0.000173;0.000052;0.001750;0.002416
4.500;-3.000;0.000;0.079;-1.326;0.000;4.579;-4.326;0.000;-0.518400;0.000000;2.827200;-0.000130;0.000039;0.001838;0.002631
4.500;-2.000;0.000;0.053;-1.326;0.000;4.553;-3.326;0.000;-0.345600;0.000000;2.923200;-0.000086;0.000026;0.001900;0.002792
4.500;-1.000;0.000;0.026;-1.326;0.000;4.526;-2.326;0.000;-0.172800;0.000000;2.980800;-0.000043;0.000013;0.001938;0.002891
4.500;0.000;0.000;0.000;-1.326;0.000;4.500;-1.326;0.000;0.000000;0.000000;3.000000;0.000000;0.000000;0.001950;0.002925
4.500;1.000;0.000;-0.026;-1.326;0.000;4.474;-0.326;0.000;0.172800;0.000000;2.980800;0.000043;-0.000013;0.001938;0.002891
4.500;2.000;0.000;-0.053;-1.326;0.000;4.447;0.674;0.000;0.345600;0.000000;2.923200;0.000086;-0.000026;0.001900;0.002792
4.500;3.000;0.000;-0.079;-1.326;0.000;4.421;1.674;0.000;0.518400;0.000000;2.827200;0.000130;-0.000039;0.001838;0.002631
4.500;4.000;0.000;-0.106;-1.326;0.000;4.394;2.674;0.000;0.691200;0.000000;2.692800;0.000173;-0.000052;0.001750;0.002416
4.500;5.000;0.000;-0.132;-1.326;0.000;4.368;3.674;0.000;0.864000;0.000000;2.520000;0.000216;-0.000065;0.001638;0.002157
4.500;6.000;0.000;-0.159;-1.326;0.000;4.341;4.674;0.000;1.036800;0.000000;2.308800;0.000259;-0.000078;0.001501;0.001867
4.500;7.000;0.000;-0.186;-1.326;0.000;4.314;5.674;0.000;1.209600;0.000000;2.059200;0.000302;-0.000091;0.001338;0.001561
4.500;8.000;0.000;-0.213;-1.326;0.000;4.287;6.674;0.000;1.382400;0.000000;1.771200;0.000346;-0.000104;0.001151;0.001258
4.500;9.000;0.000;-0.240;-1.326;0.000;4.260;7.674;0.000;1.555200;0.000000;1.444800;0.000389;-0.000117;0.000939;0.000981
4.500;10.000;0.000;-0.267;-1.326;0.000;4.233;8.674;0.000;1.728000;0.000000;1.080000;0.000432;-0.000130;0.000702;0.000752
4.500;11.000;0.000;-0.295;-1.326;0.000;4.205;9.674;0.000;1.900800;0.000000;0.676800;0.000475;-0.000143;0.000440;0.000600
4.500;12.000;0.000;-0.322;-1.327;0.000;4.178;10.673;0.000;2.073600;0.000000;0.235200;0.000518;-0.000156;0.000153;0.000555
5.500;-12.000;0.000;0.322;-1.298;0.000;5.822;-13.298;0.000;-2.534400;0.000000;0.235200;-0.000634;0.000190;0.000153;0.000821
5.500;-11.000;0.000;0.294;-1.298;0.000;5.794;-12.298;0.000;-2.323200;0.000000;0.676800;-0.000581;0.000174;0.000440;0.000824
5.500;-10.000;0.000;0.266;-1.298;0.000;5.766;-11.298;0.000;-2.112000;0.000000;1.080000;-0.000528;0.000158;0.000702;0.000937
5.500;-9.000;0.000;0.239;-1.298;0.000;5.739;-10.298;0.000;-1.900800;0.000000;1.444800;-0.000475;0.000143;0.000939;0.001130
5.500;-8.000;0.000;0.212;-1.298;0.000;5.712;-9.298;0.000;-1.689600;0.000000;1.771200;-0.000422;0.000127;0.001151;0.001376
5.500;-7.000;0.000;0.185;-1.298;0.000;5.685;-8.298;0.000;-1.478400;0.000000;2.059200;-0.000370;0.000111;0.001338;0.001651
5.500;-6.000;0.000;0.158;-1.298;0.000;5.658;-7.298;0.000;-1.267200;0.000000;2.308800;-0.000317;0.000095;0.001501;0.001933
5.500;-5.000;0.000;0.132;-1.298;0.000;5.632;-6.298;0.000;-1.056000;0.000000;2.520000;-0.000264;0.000079;0.001638;0.002203
5.500;-4.000;0.000;0.105;-1.297;0.000;5.605;-5.297;0.000;-0.844800;0.000000;2.692800;-0.000211;0.000063;0.001750;0.002446
5.500;-3.000;0.000;0.079;-1.297;0.000;5.579;-4.297;0.000;-0.633600;0.000000;2.827200;-0.000158;0.000048;0.001838;0.002648
5.500;-2.000;0.000;0.053;-1.297;0.000;5.553;-3.297;0.000;-0.422400;0.000000;2.923200;-0.000106;0.000032;0.001900;0.002799
5.500;-1.000;0.000;0.026;-1.297;0.000;5.526;-2.297;0.000;-0.211200;0.000000;2.980800;-0.000053;0.000016;0.001938;0.002893
5.500;0.000;0.000;0.000;-1.297;0.000;5.500;-1.297;0.000;0.000000;0.000000;3.000000;0.000000;0.000000;0.001950;0.002925
5.500;1.000;0.000;-0.026;-1.297;0.000;5.474;-0.297;0.000;0.211200;0.000000;2.980800;0.000053;-0.000016;0.001938;0.002893
5.500;2.000;0.000;-0.053;-1.297;0.000;5.447;0.703;0.000;0.422400;0.000000;2.923200;0.000106;-0.000032;0.001900;0.002799
5.500;3.000;0.000;-0.079;-1.297;0.000;5.421;1.703;0.000;0.633600;0.000000;2.827200;0.000158;-0.000048;0.001838;0.002648
5.500;4.000;0.000;-0.105;-1.297;0.000;5.395;2.703;0.000;0.844800;0.000000;2.692800;0.000211;-0.000063;0.001750;0.002446
5.500;5.000;0.000;-0.132;-1.298;0.000;5.368;3.702;0.000;1.056000;0.000000;2.520000;0.000264;-0.000079;0.001638;0.002203
5.500;6.000;0.000;-0.158;-1.298;0.000;5.342;4.702;0.000;1.267200;0.000000;2.308800;0.000317;-0.000095;0.001501;0.001933
5.500;7.000;0.000;-0.185;-1.298;0.000;5.315;5.702;0.000;1.478400;0.000000;2.059200;0.000370;-0.000111;0.001338;0.001651
5.500;8.000;0.000;-0.212;-1.298;0.000;5.288;6.702;0.000;1.689600;0.000000;1.771200;0.000422;-0.000127;0.001151;0.001376
5.500;9.000;0.000;-0.239;-1.298;0.000;5.261;7.702;0.000;1.900800;0.000000;1.444800;0.000475;-0.000143;0.000939;0.001130
5.500;10.000;0.000;-0.266;-1.298;0.000;5.234;8.702;0.000;2.112000;0.000000;1.080000;0.000528;-0.000158;0.000702;0.000937
5.500;11.000;0.000;-0.294;-1.298;0.000;5.206;9.702;0.000;2.323200;0.000000;0.676800;0.000581;-0.000174;0.000440;0.000824
5.500;12.000;0.000;-0.322;-1.298;0.000;5.178;10.702;0.000;2.534400;0.000000;0.235200;0.000634;-0.000190;0.000153;0.000821
6.500;-12.000;0.000;0.321;-1.270;0.000;6.821;-13.270;0.000;-2.995200;0.000000;0.235200;-0.000749;0.000225;0.000153;0.001139
6.500;-11.000;0.000;0.293;-1.270;0.000;6.793;-12.270;0.000;-2.745600;0.000000;0.676800;-0.000686;0.000206;0.000440;0.001091
6.500;-10.000;0.000;0.266;-1.270;0.000;6.766;-11.270;0.000;-2.496000;0.000000;1.080000;-0.000624;0.000187;0.000702;0.001158
6.500;-9.000;0.000;0.239;-1.270;0.000;6.739;-10.270;0.000;-2.246400;0.000000;1.444800;-0.000562;0.000168;0.000939;0.001309
6.500;-8.000;0.000;0.212;-1.270;0.000;6.712;-9.270;0.000;-1.996800;0.000000;1.771200;-0.000499;0.000150;0.001151;0.001518
6.500;-7.000;0.000;0.185;-1.270;0.000;6.685;-8.270;0.000;-1.747200;0.000000;2.059200;-0.000437;0.000131;0.001338;0.001760
6.500;-6.000;0.000;0.158;-1.269;0.000;6.658;-7.269;0.000;-1.497600;0.000000;2.308800;-0.000374;0.000112;0.001501;0.002013
6.500;-5.000;0.000;0.132;-1.269;0.000;6.632;-6.269;0.000;-1.248000;0.000000;2.520000;-0.000312;0.000094;0.001638;0.002259
6.500;-4.000;0.000;0.105;-1.269;0.000;6.605;-5.269;0.000;-0.998400;0.000000;2.692800;-0.000250;0.000075;0.001750;0.002481
6.500;-3.000;0.000;0.079;-1.269;0.000;6.579;-4.269;0.000;-0.748800;0.000000;2.827200;-0.000187;0.000056;0.001838;0.002668
6.500;-2.000;0.000;0.052;-1.269;0.000;6.552;-3.269;0.000;-0.499200;0.000000;2.923200;-0.000125;0.000037;0.001900;0.002808
6.500;-1.000;0.000;0.026;-1.269;0.000;6.526;-2.269;0.000;-0.249600;0.000000;2.980800;-0.000062;0.000019;0.001938;0.002895
6.500;0.000;0.000;0.000;-1.269;0.000;6.500;-1.269;0.000;0.000000;0.000000;3.000000;0.000000;0.000000;0.001950;0.002925
6.500;1.000;0.000;-0.026;-1.269;0.000;6.474;-0.269;0.000;0.249600;0.000000;2.980800;0.000062;-0.000019;0.001938;0.002895
6.500;2.000;0.000;-0.052;-1.269;0.000;6.448;0.731;0.000;0.499200;0.000000;2.923200;0.000125;-0.000037;0.001900;0.002808
6.500;3.000;0.000;-0.079;-1.269;0.000;6.421;1.731;0.000;0.748800;0.000000;2.827200;0.000187;-0.000056;0.001838;0.002668
6.500;4.000;0.000;-0.105;-1.269;0.000;6.395;2.731;0.000;0.998400;0.000000;2.692800;0.000250;-0.000075;0.001750;0.002481
6.500;5.000;0.000;-0.132;-1.269;0.000;6.368;3.731;0.000;1.248000;0.000000;2.520000;0.000312;-0.000094;0.001638;0.002259
6.500;6.000;0.000;-0.158;-1.269;0.000;6.342;4.731;0.000;1.497600;0.000000;2.308800;0.000374;-0.000112;0.001501;0.002013
6.500;7.000;0.000;-0.185;-1.270;0.000;6.315;5.730;0.000;1.747200;0.000000;2.059200;0.000437;-0.000131;0.001338;0.001760
6.500;8.000;0.000;-0.212;-1.270;0.000;6.288;6.730;0.000;1.996800;0.000000;1.771200;0.000499;-0.000150;0.001151;0.001518
6.500;9.000;0.000;-0.239;-1.270;0.000;6.261;7.730;0.000;2.246400;0.000000;1.444800;0.000562;-0.000168;0.000939;0.001309
6.500;10.000;0.000;-0.266;-1.270;0.000;6.234;8.730;0.000;2.496000;0.000000;1.080000;0.000624;-0.000187;0.000702;0.001158
6.500;11.000;0.000;-0.293;-1.270;0.000;6.207;9.730;0.000;2.745600;0.000000;0.676800;0.000686;-0.000206;0.000440;0.001091
6.500;12.000;0.000;-0.321;-1.270;0.000;6.179;10.730;0.000;2.995200;0.000000;0.235200;0.000749;-0.000225;0.000153;0.001139
7.500;-12.000;0.000;0.320;-1.243;0.000;7.820;-13.243;0.000;-3.456000;0.000000;0.235200;-0.000864;0.000259;0.000153;0.001511
7.500;-11.000;0.000;0.293;-1.242;0.000;7.793;-12.242;0.000;-3.168000;0.000000;0.676800;-0.000792;0.000238;0.000440;0.001403
7.500;-10.000;0.000;0.265;-1.242;0.000;7.765;-11.242;0.000;-2.880000;0.000000;1.080000;-0.000720;0.000216;0.000702;0.001416
7.500;-9.000;0.000;0.238;-1.242;0.000;7.738;-10.242;0.000;-2.592000;0.000000;1.444800;-0.000648;0.000194;0.000939;0.001518
7.500;-8.000;0.000;0.211;-1.242;0.000;7.711;-9.242;0.000;-2.304000;0.000000;1.771200;-0.000576;0.000173;0.001151;0.001683
7.500;-7.000;0.000;0.184;-1.242;0.000;7.684;-8.242;0.000;-2.016000;0.000000;2.059200;-0.000504;0.000151;0.001338;0.001886
7.500;-6.000;0.000;0.158;-1.241;0.000;7.658;-7.241;0.000;-1.728000;0.000000;2.308800;-0.000432;0.000130;0.001501;0.002106
7.500;-5.000;0.000;0.131;-1.241;0.000;7.631;-6.241;0.000;-1.440000;0.000000;2.520000;-0.000360;0.000108;0.001638;0.002323
7.500;-4.000;0.000;0.105;-1.241;0.000;7.605;-5.241;0.000;-1.152000;0.000000;2.692800;-0.000288;0.000086;0.001750;0.002523
7.500;-3.000;0.000;0.079;-1.241;0.000;7.579;-4.241;0.000;-0.864000;0.000000;2.827200;-0.000216;0.000065;0.001838;0.002691
